la_district_code,la_district_name,domain,rank
E06000012,North East Lincolnshire,Employment,39
E06000013,North Lincolnshire,Employment,58
E06000014,York,Employment,144
E06000015,Derby,Employment,40
E06000016,Leicester,Employment,42
E06000017,Rutland,Employment,149
E06000018,Nottingham,Employment,37
E06000019,"Herefordshire, County of",Employment,109
E06000020,Telford and Wrekin,Employment,52
E06000021,Stoke-on-Trent,Employment,14
E06000022,Bath and North East Somerset,Employment,141
E06000023,"Bristol, City of",Employment,100
E06000024,North Somerset,Employment,117
E06000025,South Gloucestershire,Employment,139
E06000026,Plymouth,Employment,48
E06000027,Torbay,Employment,20
E06000030,Swindon,Employment,111
E06000031,Peterborough,Employment,45
E06000032,Luton,Employment,44
E06000033,Southend-on-Sea,Employment,63
E06000034,Thurrock,Employment,86
E06000035,Medway,Employment,65
E06000036,Bracknell Forest,Employment,146
E06000037,West Berkshire,Employment,143
E06000038,Reading,Employment,120
E06000039,Slough,Employment,82
E06000040,Windsor and Maidenhead,Employment,150
E06000041,Wokingham,Employment,152
E06000042,Milton Keynes,Employment,113
E06000043,Brighton and Hove,Employment,88
E06000044,Portsmouth,Employment,72
E06000045,Southampton,Employment,74
E06000046,Isle of Wight,Employment,32
E06000047,County Durham,Employment,28
E06000049,Cheshire East,Employment,130
E06000050,Cheshire West and Chester,Employment,104
E06000051,Shropshire,Employment,118
E06000052,Cornwall,Employment,66
E06000053,Isles of Scilly,Employment,153
E06000054,Wiltshire,Employment,134
E06000055,Bedford,Employment,99
E06000056,Central Bedfordshire,Employment,138
E06000057,Northumberland,Employment,80
E06000058,"Bournemouth, Christchurch and Poole",Employment,91
E06000059,Dorset,Employment,110
E06000060,Buckinghamshire,Employment,142
E06000061,North Northamptonshire,Employment,98
E06000062,West Northamptonshire,Employment,127
E06000063,Cumberland,Employment,70
E06000064,Westmorland and Furness,Employment,128
E06000065,North Yorkshire,Employment,132
E06000066,Somerset,Employment,94
E08000001,Bolton,Employment,25
E08000002,Bury,Employment,54
E08000003,Manchester,Employment,33
E08000004,Oldham,Employment,12
E08000005,Rochdale,Employment,10
E08000006,Salford,Employment,47
E08000007,Stockport,Employment,96
E08000008,Tameside,Employment,22
E08000009,Trafford,Employment,115
E08000010,Wigan,Employment,51
E08000011,Knowsley,Employment,2
E08000012,Liverpool,Employment,18
E08000013,St. Helens,Employment,23
E08000014,Sefton,Employment,36
E08000015,Wirral,Employment,38
E08000016,Barnsley,Employment,17
E08000017,Doncaster,Employment,27
E08000018,Rotherham,Employment,29
E08000019,Sheffield,Employment,77
E08000021,Newcastle upon Tyne,Employment,81
E08000022,North Tyneside,Employment,69
E08000023,South Tyneside,Employment,5
E08000024,Sunderland,Employment,8
E08000025,Birmingham,Employment,7
E08000026,Coventry,Employment,56
E08000027,Dudley,Employment,46
E08000028,Sandwell,Employment,3
E08000029,Solihull,Employment,107
E08000030,Walsall,Employment,11
E08000031,Wolverhampton,Employment,4
E08000032,Bradford,Employment,19
E08000033,Calderdale,Employment,50
E08000034,Kirklees,Employment,55
